Accession	Protein names	Gene names
Q9R092	17-beta-hydroxysteroid dehydrogenase type 6	Hsd17b6
Q9R097	Kunitz-type protease inhibitor 1	Spint1
Q9R098	Hepatocyte growth factor activator	Hgfac
Q9R099	Transducin beta-like protein 2	Tbl2
Q9R0A0	Peroxisomal membrane protein PEX14	Pex14
Q9R0A1	Chloride channel protein 2	Clcn2
Q9R0A5	Serine/threonine-protein kinase Nek3	Nek3
Q9R0B6	Laminin subunit gamma-3	Lamc3
Q9R0B7	Zinc finger protein 346	Znf346
Q9R0B9	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	Plod2
Q9R0C0	Biogenesis of lysosome-related organelles complex 1 subunit 6	Bloc1s6
Q9R0C0-2	Isoform 2 of Biogenesis of lysosome-related organelles complex 1 subunit 6	Bloc1s6
Q9R0C8	Guanine nucleotide exchange factor VAV3	Vav3
Q9R0C8-3	Isoform 3 of Guanine nucleotide exchange factor VAV3	Vav3
Q9R0C8-4	Isoform 4 of Guanine nucleotide exchange factor VAV3	Vav3
Q9R0D8	WD repeat-containing protein 54	Wdr54
Q9R0E1	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	Plod3
Q9R0E2	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"	Plod1
Q9R0G6	Cartilage oligomeric matrix protein	Comp
Q9R0G7	Zinc finger E-box-binding homeobox 2	Zeb2
Q9R0G8	Nik-related protein kinase	Nrk
Q9R0H0	Peroxisomal acyl-coenzyme A oxidase 1	Acox1
Q9R0H0-2	Isoform 2 of Peroxisomal acyl-coenzyme A oxidase 1	Acox1
Q9R0H2	Endomucin	Emcn
Q9R0H2-2	Isoform 2 of Endomucin	Emcn
Q9R0H2-3	Isoform 3 of Endomucin	Emcn
Q9R0H2-4	Isoform 4 of Endomucin	Emcn
Q9R0H5	"Keratin, type II cytoskeletal 71"	Krt71
Q9R0I7	YLP motif-containing protein 1	Ylpm1
Q9R0K7	Plasma membrane calcium-transporting ATPase 2	Atp2b2
Q9R0L1	Heat shock factor protein 4	Hsf4
Q9R0L1-2	Isoform HSF4A of Heat shock factor protein 4	Hsf4
Q9R0L6	Pericentriolar material 1 protein	Pcm1
Q9R0L6-2	Isoform 2 of Pericentriolar material 1 protein	Pcm1
Q9R0L7	A-kinase anchor protein 8-like	Akap8l
Q9R0L9	Sialomucin core protein 24	Cd164
Q9R0M0	Cadherin EGF LAG seven-pass G-type receptor 2	Celsr2
Q9R0M0-2	Isoform 2 of Cadherin EGF LAG seven-pass G-type receptor 2	Celsr2
Q9R0M1	Chemokine XC receptor 1	Xcr1
Q9R0M3	Sushi-repeat-containing protein SRPX	Srpx
Q9R0M3-2	Isoform 2 of Sushi-repeat-containing protein SRPX	Srpx
Q9R0M4	Podocalyxin	Podxl
Q9R0M5	Thiamin pyrophosphokinase 1	Tpk1
Q9R0M5-2	Isoform 2 of Thiamin pyrophosphokinase 1	Tpk1
Q9R0M5-3	Isoform 3 of Thiamin pyrophosphokinase 1	Tpk1
Q9R0M6	Ras-related protein Rab-9A	Rab9a
Q9R0M8	UDP-galactose translocator	Slc35a2
Q9R0N0	Galactokinase	Galk1
Q9R0N3	Synaptotagmin-11	Syt11
Q9R0N4	Synaptotagmin-10	Syt10
Q9R0N5	Synaptotagmin-5	Syt5
Q9R0N6	Synaptotagmin-8	Syt8
Q9R0N6-2	Isoform 2 of Synaptotagmin-8	Syt8
Q9R0N7	Synaptotagmin-7	Syt7
Q9R0N7-2	Isoform 2 of Synaptotagmin-7	Syt7
Q9R0N7-3	Isoform 3 of Synaptotagmin-7	Syt7
Q9R0N7-4	Isoform 4 of Synaptotagmin-7	Syt7
Q9R0N8	Synaptotagmin-6	Syt6
Q9R0N8-2	Isoform 2 of Synaptotagmin-6	Syt6
Q9R0N9	Synaptotagmin-9	Syt9
Q9R0P3	S-formylglutathione hydrolase	Esd
Q9R0P4	Small acidic protein	Smap
Q9R0P5	Destrin	Dstn
Q9R0P6	Signal peptidase complex catalytic subunit SEC11A	Sec11a
Q9R0P9	Ubiquitin carboxyl-terminal hydrolase isozyme L1	Uchl1
Q9R0Q1	Synaptotagmin-like protein 4	Sytl4
Q9R0Q1-2	Isoform 2 of Synaptotagmin-like protein 4	Sytl4
Q9R0Q1-3	Isoform 3 of Synaptotagmin-like protein 4	Sytl4
Q9R0Q3	Transmembrane emp24 domain-containing protein 2	Tmed2
Q9R0Q4	Mortality factor 4-like protein 2	Morf4l2
Q9R0Q6	Actin-related protein 2/3 complex subunit 1A	Arpc1a
Q9R0Q7	Prostaglandin E synthase 3	Ptges3
Q9R0Q8	C-type lectin domain family 4 member E	Clec4e
Q9R0Q9	Mannose-P-dolichol utilization defect 1 protein	Mpdu1
Q9R0R1	Melanotransferrin	Meltf
Q9R0R4	Apelin	Apln
Q9R0S2	Matrix metalloproteinase-24	Mmp24
Q9R0S3	Matrix metalloproteinase-17	Mmp17
Q9R0T8	Inhibitor of nuclear factor kappa-B kinase subunit epsilon	Ikbke
Q9R0U0	Serine/arginine-rich splicing factor 10	Srsf10
Q9R0U0-2	Isoform 2 of Serine/arginine-rich splicing factor 10	Srsf10
Q9R0U0-3	Isoform 3 of Serine/arginine-rich splicing factor 10	Srsf10
Q9R0W9	Neuronal acetylcholine receptor subunit alpha-6	Chrna6
Q9R0X0	Mediator of RNA polymerase II transcription subunit 20	Med20
Q9R0X0-2	Isoform 2 of Mediator of RNA polymerase II transcription subunit 20	Med20
Q9R0X0-3	Isoform 3 of Mediator of RNA polymerase II transcription subunit 20	Med20
Q9R0X2	ADAM DEC1	Adamdec1
Q9R0X4	"Acyl-coenzyme A thioesterase 9, mitochondrial"	Acot9
Q9R0X5	X-linked retinitis pigmentosa GTPase regulator	Rpgr
Q9R0X5-2	Isoform 2 of X-linked retinitis pigmentosa GTPase regulator	Rpgr
Q9R0X5-3	Isoform 3 of X-linked retinitis pigmentosa GTPase regulator	Rpgr
Q9R0X5-4	Isoform 4 of X-linked retinitis pigmentosa GTPase regulator	Rpgr
Q9R0X5-5	Isoform 5 of X-linked retinitis pigmentosa GTPase regulator	Rpgr
Q9R0Y1	Acid-sensing ion channel 5	Asic5
Q9R0Y5	Adenylate kinase isoenzyme 1	Ak1
Q9R0Y5-2	Isoform 2 of Adenylate kinase isoenzyme 1	Ak1
Q9R0Y8	Gamma-aminobutyric acid receptor subunit gamma-1	Gabrg1
Q9R0Z9	Rho GTPase-activating protein 7	Dlc1
Q9R0Z9-2	Isoform 2 of Rho GTPase-activating protein 7	Dlc1
Q9R100	Cadherin-17	Cdh17
Q9R109	Ornithine decarboxylase antizyme 3	Oaz3
Q9R111	Guanine deaminase	Gda
Q9R112	"Sulfide:quinone oxidoreductase, mitochondrial"	Sqor
Q9R117	Non-receptor tyrosine-protein kinase TYK2	Tyk2
Q9R118	Serine protease HTRA1	Htra1
Q9R123	N-alpha-acetyltransferase 80	Naa80
Q9R144	Protein arginine N-methyltransferase 2	Prmt2
Q9R155	Pendrin	Slc26a4
Q9R157	Disintegrin and metalloproteinase domain-containing protein 18	Adam18
Q9R158	Disintegrin and metalloproteinase domain-containing protein 26A	Adam26a
Q9R159	Disintegrin and metalloproteinase domain-containing protein 25	Adam25
Q9R160	Disintegrin and metalloproteinase domain-containing protein 24	Adam24
Q9R171	Cerebellin-1	Cbln1
Q9R182	Angiopoietin-related protein 3	Angptl3
Q9R187	Tumor necrosis factor receptor superfamily member EDAR	Edar
Q9R190	Metastasis-associated protein MTA2	Mta2
Q9R194	Cryptochrome-2	Cry2
Q9R1A3	Netrin-3	Ntn3
Q9R1A8	E3 ubiquitin-protein ligase COP1	Cop1
Q9R1A9	Three prime repair exonuclease 2	Trex2
Q9R1B9	Slit homolog 2 protein	Slit2
Q9R1C0	Transcription initiation factor TFIID subunit 7	Taf7
Q9R1C6	Diacylglycerol kinase epsilon	Dgke
Q9R1C7	Pre-mRNA-processing factor 40 homolog A	Prpf40a
Q9R1C7-2	Isoform 2 of Pre-mRNA-processing factor 40 homolog A	Prpf40a
Q9R1C8	5-hydroxytryptamine receptor 6	Htr6
Q9R1E0	Forkhead box protein O1	Foxo1
Q9R1E6	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	Enpp2
Q9R1E6-2	Isoform 2 of Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	Enpp2
Q9R1E6-3	Isoform 3 of Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	Enpp2
Q9R1I1	Carbohydrate sulfotransferase 4	Chst4
Q9R1J0	"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating"	Nsdhl
Q9R1K5	Fizzy-related protein homolog	Fzr1
Q9R1K6	Probable G-protein coupled receptor 34	Gpr34
Q9R1K7	Tubulin delta chain	Tubd1
Q9R1K9	Centrin-2	Cetn2
Q9R1L5	Microtubule-associated serine/threonine-protein kinase 1	Mast1
Q9R1M5	"NACHT, LRR and PYD domains-containing protein 5"	Nlrp5
Q9R1M5-2	"Isoform 2 of NACHT, LRR and PYD domains-containing protein 5"	Nlrp5
Q9R1M5-3	"Isoform 3 of NACHT, LRR and PYD domains-containing protein 5"	Nlrp5
Q9R1M5-4	"Isoform 4 of NACHT, LRR and PYD domains-containing protein 5"	Nlrp5
Q9R1M5-5	"Isoform 5 of NACHT, LRR and PYD domains-containing protein 5"	Nlrp5
Q9R1M5-6	"Isoform 6 of NACHT, LRR and PYD domains-containing protein 5"	Nlrp5
Q9R1M5-7	"Isoform 7 of NACHT, LRR and PYD domains-containing protein 5"	Nlrp5
Q9R1M5-8	"Isoform 8 of NACHT, LRR and PYD domains-containing protein 5"	Nlrp5
Q9R1N9	Collagen alpha-1(XIII) chain	Col13a1
Q9R1N9-2	Isoform 2 of Collagen alpha-1(XIII) chain	Col13a1
Q9R1P0	Proteasome subunit alpha type-4	Psma4
Q9R1P1	Proteasome subunit beta type-3	Psmb3
Q9R1P3	Proteasome subunit beta type-2	Psmb2
Q9R1P4	Proteasome subunit alpha type-1	Psma1
Q9R1Q6	Transmembrane protein 176B	Tmem176b
Q9R1Q7	Proteolipid protein 2	Plp2
Q9R1Q8	Transgelin-3	Tagln3
Q9R1Q9	V-type proton ATPase subunit S1	Atp6ap1
Q9R1R0	LIM/homeobox protein Lhx6	Lhx6
Q9R1R0-2	Isoform 2 of LIM/homeobox protein Lhx6	Lhx6
Q9R1R2	Tripartite motif-containing protein 3	Trim3
Q9R1S0	B9 domain-containing protein 1	B9d1
Q9R1S3	GPI ethanolamine phosphate transferase 1	Pign
Q9R1S3-2	Isoform 2 of GPI ethanolamine phosphate transferase 1	Pign
Q9R1S3-3	Isoform 3 of GPI ethanolamine phosphate transferase 1	Pign
Q9R1S3-4	Isoform 4 of GPI ethanolamine phosphate transferase 1	Pign
Q9R1S7	ATP-binding cassette sub-family C member 6	Abcc6
Q9R1S8	Calpain-7	Capn7
Q9R1T2	SUMO-activating enzyme subunit 1	Sae1
Q9R1T2-2	Isoform 2 of SUMO-activating enzyme subunit 1	Sae1
Q9R1T4	Septin-6	Septin6
Q9R1T4-2	Isoform I of Septin-6	Septin6
Q9R1T4-3	Isoform V of Septin-6	Septin6
Q9R1V4	Disintegrin and metalloproteinase domain-containing protein 11	Adam11
Q9R1V6	Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-1	Isoform 20 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-10	Isoform 8 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-11	Isoform 9 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-12	Isoform 10 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-13	Isoform 11 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-14	Isoform 12 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-15	Isoform 13 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-16	Isoform 14 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-17	Isoform 15 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-18	Isoform 16 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-19	Isoform 18 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-2	Isoform 17 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-20	Isoform 19 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-21	Isoform 21 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-4	Isoform 2 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-5	Isoform 3 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-6	Isoform 4 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-7	Isoform 5 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-8	Isoform 6 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V6-9	Isoform 7 of Disintegrin and metalloproteinase domain-containing protein 22	Adam22
Q9R1V7	Disintegrin and metalloproteinase domain-containing protein 23	Adam23
Q9R1V7-2	Isoform Beta of Disintegrin and metalloproteinase domain-containing protein 23	Adam23
Q9R1V7-3	Isoform Gamma of Disintegrin and metalloproteinase domain-containing protein 23	Adam23
Q9R1V7-4	Isoform Delta of Disintegrin and metalloproteinase domain-containing protein 23	Adam23
Q9R1W3	E3 ubiquitin-protein ligase RNF103	Rnf103
Q9R1W5	Calcitonin gene-related peptide type 1 receptor	Calcrl
Q9R1X4	Protein timeless homolog	Timeless
Q9R1X4-2	Isoform 2 of Protein timeless homolog	Timeless
Q9R1X4-3	Isoform 3 of Protein timeless homolog	Timeless
Q9R1X4-4	Isoform 4 of Protein timeless homolog	Timeless
Q9R1X4-5	Isoform 5 of Protein timeless homolog	Timeless
Q9R1X4-6	Isoform 6 of Protein timeless homolog	Timeless
Q9R1X5	ATP-binding cassette sub-family C member 5	Abcc5
Q9R1Y5	Hypermethylated in cancer 1 protein	Hic1
Q9R1Z7	6-pyruvoyl tetrahydrobiopterin synthase	Pts
Q9R1Z8	Vinexin	Sorbs3
Q9R207	Nibrin	Nbn
Q9R210	Transcription factor EB	Tfeb
Q9R216	Frizzled-9	Fzd9
Q9R224	Protein BEX1	Bex1
Q9R226	"KH domain-containing, RNA-binding, signal transduction-associated protein 3"	Khdrbs3
Q9R229	Bone morphogenetic protein 10	Bmp10
Q9R233	Tapasin	Tapbp
Q9R233-2	Isoform Short of Tapasin	Tapbp
Q9R244	Short transient receptor potential channel 2	Trpc2
Q9R244-2	Isoform 2 of Short transient receptor potential channel 2	Trpc2
Q9R244-3	Isoform 3 of Short transient receptor potential channel 2	Trpc2
Q9R244-4	Isoform 4 of Short transient receptor potential channel 2	Trpc2
Q9R257	Heme-binding protein 1	Hebp1
Q9R269	Periplakin	Ppl
Q9R2B6	"Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase"	St6galnac4
Q9R2B6-2	"Isoform 2 of Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase"	St6galnac4
Q9R2B6-3	"Isoform 3 of Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase"	St6galnac4
Q9WTI7	Unconventional myosin-Ic	Myo1c
Q9WTI7-2	Isoform 2 of Unconventional myosin-Ic	Myo1c
Q9WTI7-3	Isoform 3 of Unconventional myosin-Ic	Myo1c
Q9WTI7-4	Isoform 4 of Unconventional myosin-Ic	Myo1c
Q9WTJ2	Putative transcription factor Ovo-like 1	Ovol1
Q9WTJ4	Flt3-interacting zinc finger protein 1	Fiz1
Q9WTJ5	Receptor activity-modifying protein 1	Ramp1
Q9WTJ6	Tesmin	Tesmin
Q9WTJ6-2	Isoform 2 of Tesmin	Tesmin
Q9WTJ8	Protein FAM50B	Fam50b
Q9WTK0	Nuclear protein 1	Nupr1
Q9WTK2	Chromodomain Y-like protein	Cdyl
Q9WTK2-2	Isoform 2 of Chromodomain Y-like protein	Cdyl
Q9WTK3	Glycosylphosphatidylinositol anchor attachment 1 protein	Gpaa1
Q9WTK5	Nuclear factor NF-kappa-B p100 subunit	Nfkb2
Q9WTK7	Serine/threonine-protein kinase STK11	Stk11
Q9WTK7-2	Isoform 2 of Serine/threonine-protein kinase STK11	Stk11
Q9WTK7-3	Isoform 3 of Serine/threonine-protein kinase STK11	Stk11
Q9WTK8	Meiotic recombination protein SPO11	Spo11
Q9WTK8-2	Isoform 2 of Meiotic recombination protein SPO11	Spo11
Q9WTK8-3	Isoform 3 of Meiotic recombination protein SPO11	Spo11
Q9WTK8-4	Isoform 4 of Meiotic recombination protein SPO11	Spo11
Q9WTK8-5	Isoform 5 of Meiotic recombination protein SPO11	Spo11
Q9WTL0	Beta-defensin 3	Defb3
Q9WTL2	Ras-related protein Rab-25	Rab25
Q9WTL4	Insulin receptor-related protein	Insrr
Q9WTL7	Acyl-protein thioesterase 2	Lypla2
Q9WTL8	Aryl hydrocarbon receptor nuclear translocator-like protein 1	Arntl
Q9WTL8-2	Isoform 2 of Aryl hydrocarbon receptor nuclear translocator-like protein 1	Arntl
Q9WTL8-3	Isoform 3 of Aryl hydrocarbon receptor nuclear translocator-like protein 1	Arntl
Q9WTL8-4	Isoform 4 of Aryl hydrocarbon receptor nuclear translocator-like protein 1	Arntl
Q9WTL8-5	Isoform 5 of Aryl hydrocarbon receptor nuclear translocator-like protein 1	Arntl
Q9WTM3	Semaphorin-6C	Sema6c
Q9WTM4	Nuclear factor erythroid 2-related factor 3	Nfe2l3
Q9WTM5	RuvB-like 2	Ruvbl2
Q9WTN0	Geranylgeranyl pyrophosphate synthase	Ggps1
Q9WTN3	Sterol regulatory element-binding protein 1	Srebf1
Q9WTN3-2	Isoform SREBP-1A-W42 of Sterol regulatory element-binding protein 1	Srebf1
Q9WTN3-3	Isoform SREBP-1C of Sterol regulatory element-binding protein 1	Srebf1
Q9WTN3-4	Isoform SREBP-1C-W42 of Sterol regulatory element-binding protein 1	Srebf1
Q9WTN6	Solute carrier family 22 member 21	Slc22a21
Q9WTP2	Protein sprouty homolog 4	Spry4
Q9WTP3	SAM pointed domain-containing Ets transcription factor	Spdef
Q9WTP5	Cadherin-22	Cdh22
Q9WTP6	"Adenylate kinase 2, mitochondrial"	Ak2
Q9WTP6-2	"Isoform 2 of Adenylate kinase 2, mitochondrial"	Ak2
Q9WTP7	"GTP:AMP phosphotransferase AK3, mitochondrial"	Ak3
Q9WTP9	Ventral anterior homeobox 2	Vax2
Q9WTQ5	A-kinase anchor protein 12	Akap12
Q9WTQ5-2	Isoform 2 of A-kinase anchor protein 12	Akap12
Q9WTQ8	Mitochondrial import inner membrane translocase subunit Tim23	Timm23
Q9WTR0	Matrix metalloproteinase-16	Mmp16
Q9WTR1	Transient receptor potential cation channel subfamily V member 2	Trpv2
Q9WTR2	Mitogen-activated protein kinase kinase kinase 6	Map3k6
Q9WTR5	Cadherin-13	Cdh13
Q9WTR6	Cystine/glutamate transporter	Slc7a11
Q9WTS2	"Alpha-(1,6)-fucosyltransferase"	Fut8
Q9WTS4	Teneurin-1	Tenm1
Q9WTS4-2	Isoform 2 of Teneurin-1	Tenm1
Q9WTS5	Teneurin-2	Tenm2
Q9WTS6	Teneurin-3	Tenm3
Q9WTS6-2	Isoform A0B0 of Teneurin-3	Tenm3
Q9WTS6-3	Isoform A0B1 of Teneurin-3	Tenm3
Q9WTS6-4	Isoform A1B0 of Teneurin-3	Tenm3
Q9WTS6-5	Isoform A2B1 of Teneurin-3	Tenm3
Q9WTS6-6	Isoform A2B0 of Teneurin-3	Tenm3
Q9WTS6-7	Isoform A3B1 of Teneurin-3	Tenm3
Q9WTS6-8	Isoform A3B0 of Teneurin-3	Tenm3
Q9WTT4	V-type proton ATPase subunit G 2	Atp6v1g2
Q9WTU0	Lysine-specific demethylase PHF2	Phf2
Q9WTU3	Sodium channel protein type 8 subunit alpha	Scn8a
Q9WTU3-2	Isoform 2 of Sodium channel protein type 8 subunit alpha	Scn8a
Q9WTU3-3	Isoform 3 of Sodium channel protein type 8 subunit alpha	Scn8a
Q9WTU3-4	Isoform 4 of Sodium channel protein type 8 subunit alpha	Scn8a
Q9WTU3-5	Isoform 5 of Sodium channel protein type 8 subunit alpha	Scn8a
Q9WTU6	Mitogen-activated protein kinase 9	Mapk9
Q9WTU6-2	Isoform Alpha-1 of Mitogen-activated protein kinase 9	Mapk9
Q9WTU6-3	Isoform Beta-1 of Mitogen-activated protein kinase 9	Mapk9
Q9WTU6-4	Isoform Beta-2 of Mitogen-activated protein kinase 9	Mapk9
Q9WTV6	Ubl carboxyl-terminal hydrolase 18	Usp18
Q9WTV7	E3 ubiquitin-protein ligase RLIM	Rlim
Q9WTW2	Potassium voltage-gated channel subfamily E member 3	Kcne3
Q9WTW3	Potassium voltage-gated channel subfamily E member 4	Kcne4
Q9WTW4	Transcription factor EC	Tfec
Q9WTW5	Solute carrier family 22 member 3	Slc22a3
Q9WTX2	Interferon-inducible double-stranded RNA-dependent protein kinase activator A	Prkra
Q9WTX4	"Pro-neuregulin-4, membrane-bound isoform"	Nrg4
Q9WTX5	S-phase kinase-associated protein 1	Skp1
Q9WTX6	Cullin-1	Cul1
Q9WTX7	Four and a half LIM domains protein 5	Fhl5
Q9WTX8	Mitotic spindle assembly checkpoint protein MAD1	Mad1l1
Q9WTX8-2	Isoform 2 of Mitotic spindle assembly checkpoint protein MAD1	Mad1l1
Q9WTY1	Programmed cell death protein 7	Pdcd7
Q9WTY4	Aquaporin-5	Aqp5
Q9WTZ0	Protein UXT	Uxt
Q9WTZ1	RING-box protein 2	Rnf7
Q9WTZ2	Membrane-bound transcription factor site-1 protease	Mbtps1
Q9WTZ8	Protein BEX2	Bex2
Q9WTZ9	Protein BEX3	Bex3
Q9WTZ9-2	Isoform 2 of Protein BEX3	Bex3
Q9WU00	Nuclear respiratory factor 1	Nrf1
Q9WU00-2	Isoform Short of Nuclear respiratory factor 1	Nrf1
Q9WU01	"KH domain-containing, RNA-binding, signal transduction-associated protein 2"	Khdrbs2
Q9WU01-2	"Isoform 2 of KH domain-containing, RNA-binding, signal transduction-associated protein 2"	Khdrbs2
Q9WU02	Vasopressin V1b receptor	Avpr1b
Q9WU03	Kunitz-type protease inhibitor 2	Spint2
Q9WU03-2	Isoform 2 of Kunitz-type protease inhibitor 2	Spint2
Q9WU03-3	Isoform 3 of Kunitz-type protease inhibitor 2	Spint2
Q9WU12	SNRPN upstream reading frame protein	Snurf
Q9WU19	2-Hydroxyacid oxidase 1	Hao1
Q9WU20	Methylenetetrahydrofolate reductase	Mthfr
Q9WU22	Tyrosine-protein phosphatase non-receptor type 4	Ptpn4
Q9WU28	Prefoldin subunit 5	Pfdn5
Q9WU38	Amiloride-sensitive sodium channel subunit beta	Scnn1b
Q9WU39	Amiloride-sensitive sodium channel subunit gamma	Scnn1g
Q9WU40	Inner nuclear membrane protein Man1	Lemd3
Q9WU40-2	Isoform 2 of Inner nuclear membrane protein Man1	Lemd3
Q9WU42	Nuclear receptor corepressor 2	Ncor2
Q9WU42-2	Isoform Beta of Nuclear receptor corepressor 2	Ncor2
Q9WU56	Pseudouridylate synthase 1 homolog	Pus1
Q9WU56-2	Isoform 2 of Pseudouridylate synthase 1 homolog	Pus1
Q9WU56-3	Isoform 3 of Pseudouridylate synthase 1 homolog	Pus1
Q9WU56-4	Isoform 4 of Pseudouridylate synthase 1 homolog	Pus1
Q9WU60	Attractin	Atrn
Q9WU62	Inner centromere protein	Incenp
Q9WU62-2	Isoform 2 of Inner centromere protein	Incenp
Q9WU63	Heme-binding protein 2	Hebp2
Q9WU65	Glycerol kinase 2	Gk2
Q9WU66	Secreted frizzled-related protein 5	Sfrp5
Q9WU67	Lymphocyte antigen 6I	Ly6i
Q9WU72	Tumor necrosis factor ligand superfamily member 13B	Tnfsf13b
Q9WU72-2	Isoform 2 of Tumor necrosis factor ligand superfamily member 13B	Tnfsf13b
Q9WU78	Programmed cell death 6-interacting protein	Pdcd6ip
Q9WU78-2	Isoform 2 of Programmed cell death 6-interacting protein	Pdcd6ip
Q9WU78-3	Isoform 3 of Programmed cell death 6-interacting protein	Pdcd6ip
Q9WU79	"Proline dehydrogenase 1, mitochondrial"	Prodh
Q9WU81	Glucose-6-phosphate exchanger SLC37A2	Slc37a2
Q9WU81-2	Isoform 2 of Glucose-6-phosphate exchanger SLC37A2	Slc37a2
Q9WU84	Copper chaperone for superoxide dismutase	Ccs
Q9WUA1	Wnt inhibitory factor 1	Wif1
Q9WUA2	Phenylalanine--tRNA ligase beta subunit	Farsb
Q9WUA3	"ATP-dependent 6-phosphofructokinase, platelet type"	Pfkp
Q9WUA3-2	"Isoform 2 of ATP-dependent 6-phosphofructokinase, platelet type"	Pfkp
Q9WUA5	Laforin	Epm2a
Q9WUA6	RAC-gamma serine/threonine-protein kinase	Akt3
Q9WUA6-2	Isoform 2 of RAC-gamma serine/threonine-protein kinase	Akt3
Q9WUB0	RanBP-type and C3HC4-type zinc finger-containing protein 1	Rbck1
Q9WUB3	"Glycogen phosphorylase, muscle form"	Pygm
Q9WUB4	Dynactin subunit 6	Dctn6
Q9WUB6	Chloride channel protein ClC-Kb	Clcnkb
Q9WUB6-2	Isoform 2 of Chloride channel protein ClC-Kb	Clcnkb
Q9WUB7	Chloride channel protein ClC-Ka	Clcnka
Q9WUC3	Lymphocyte antigen 6H	Ly6h
Q9WUD1	E3 ubiquitin-protein ligase CHIP	Stub1
Q9WUD6	Protein Wnt-8b	Wnt8b
Q9WUD8	Fas apoptotic inhibitory molecule 1	Faim
Q9WUE3	Transmembrane reductase CYB561D2	Cyb561d2
Q9WUE4	GATOR complex protein NPRL2	Nprl2
Q9WUF1	Vomeronasal type-1 receptor 49	Vmn1r49
Q9WUF2	Early growth response protein 4	Egr4
Q9WUF3	CASP8-associated protein 2	Casp8ap2
Q9WUG6	Insulin-like peptide INSL5	Insl5
Q9WUH1	Transmembrane protein 115	Tmem115
Q9WUH2	LIM/homeobox protein Lhx9	Lhx9
Q9WUH2-1	Isoform 1 of LIM/homeobox protein Lhx9	Lhx9
Q9WUH2-2	Isoform 2 of LIM/homeobox protein Lhx9	Lhx9
Q9WUH2-4	Isoform 4 of LIM/homeobox protein Lhx9	Lhx9
Q9WUH5	Tripartite motif-containing protein 10	Trim10
Q9WUH7	Semaphorin-4G	Sema4g
Q9WUI0	Homeobox protein MIXL1	Mixl1
Q9WUI1	Mitogen-activated protein kinase 11	Mapk11
Q9WUJ8	Origin recognition complex subunit 6	Orc6
Q9WUK2	Eukaryotic translation initiation factor 4H	Eif4h
Q9WUK2-2	Isoform Short of Eukaryotic translation initiation factor 4H	Eif4h
Q9WUK4	Replication factor C subunit 2	Rfc2
Q9WUK6	Zinc finger and BTB domain-containing protein 18	Zbtb18
Q9WUK7	Opsin-3	Opn3
Q9WUL5	Programmed cell death 1 ligand 2	Pdcd1lg2
Q9WUL6	Mitogen-activated protein kinase kinase kinase 14	Map3k14
Q9WUL7	ADP-ribosylation factor-like protein 3	Arl3
Q9WUL8	Cbp/p300-interacting transactivator 4	Cited4
Q9WUL8-2	Isoform 2 of Cbp/p300-interacting transactivator 4	Cited4
Q9WUL8-3	Isoform 3 of Cbp/p300-interacting transactivator 4	Cited4
Q9WUM3	Coronin-1B	Coro1b
Q9WUM4	Coronin-1C	Coro1c
